mu,a,ap,f,cx,cy,fx,fy,phi,w2_u2,alpha,cl,cd,gamma,dmu,dpsi,dct,dcp
0.20581163651478956,0.4774507317972875,0.08223031668958725,0.329188023981195,0.9791192978236724,0.2776507956544513,995.54355774589,282.3082558109601,0.2852586653441799,3.4481709661630893,7.225480504963319,1.0176845139769606,0.009099104887287936,17.211920550378853,0.011623273029579212,0.3141592653589794,0.0025351308524568022,0.0011836508275752011
0.22872043138414758,0.3520304358224722,0.062050360473430655,0.6149263710468555,1.1685702820820763,0.3768893642382626,4167.409466593318,1344.0803066600076,0.3218443752846444,4.196283071496034,9.642410403212779,1.227784860982979,0.012100916589787286,20.3434049738953,0.034194316709136814,0.3141592653589794,0.010612221063940568,0.006262680854243782
0.2732066452351377,0.28900779682552796,0.040103514852141794,0.8242502450074637,1.1509501260078896,0.34906847465749913,8531.971340378235,2587.637951059974,0.30311897993157855,5.673427972620456,9.192331273682074,1.2026748455261551,0.010402331273682066,19.124815512699783,0.05477811099284351,0.3141592653589794,0.02172648661023328,0.014402068487332912
0.33668490101954857,0.2542328345904452,0.024624300149114303,0.9349990759845195,1.045799830442377,0.272831462171631,13833.919852074661,3609.035376900705,0.26392121794121726,8.172688155722934,7.835160526257814,1.0807614654223647,0.009431169711009343,16.157088303275234,0.07217840057597812,0.3141592653589794,0.03522778762871655,0.0247539711759262
0.41546607324526164,0.23312565649950825,0.015252555965535371,0.9800391987738272,0.930333415682767,0.20230970970922724,19644.75880955436,4271.936695748585,0.22346527624088858,11.974833200639543,6.6201422217616415,0.9520348823663146,0.008891891607183452,13.107624734787583,0.08538394387544798,0.3141592653589794,0.05002496752621815,0.03615684063140542
0.5049716865404281,0.22388826373003598,0.00996828423713708,0.9946080929257142,0.8541428056976539,0.15363019666974703,25709.988143617793,4624.321031077571,0.1879756770417928,17.249101147462053,5.839816557174923,0.8678056517371274,0.008690262766163094,10.782853781537362,0.09362728271488509,0.3141592653589794,0.0654699471982527,0.047571309412108555
0.5999999999999999,0.22331146570416083,0.0069823720192016695,0.9976691371331964,0.8253818701124217,0.1238762711576495,31473.550702572174,4723.663371123793,0.15932614075744075,23.96611606302951,5.528715431508645,0.8345812596756804,0.008641936377710083,9.180393856432483,0.09642934420425837,0.3141592653589794,0.08014673873548411,0.057737808001265475
0.6950283134595716,0.22733865430039507,0.005224704468475335,0.9944957848882511,0.8355593825996048,0.10677221403738933,35770.33234995862,4570.922987000828,0.1373693037992125,31.837023473956837,5.601077730779306,0.8423092722191496,0.008653177123227856,8.064753551155466,0.09362728271488509,0.3141592653589794,0.09108840335257355,0.0647197010161808
0.7845339267547382,0.23286571369708386,0.004142936556276084,0.9786927297231691,0.8713780364018245,0.0972996006187518,37030.62460147893,4134.904532953379,0.12112753139685285,40.30714764730082,5.923571306444373,0.8767503336979428,0.00870327321265155,7.217400942765245,0.08538394387544812,0.3141592653589794,0.0942977112176915,0.06608567304942432
0.8633150989804513,0.2412422045711085,0.0034867543059585596,0.9275826733838001,0.9164332380197535,0.09148043313714403,34003.34441350141,3394.290551950998,0.10904506923393556,48.60895931742736,6.3342336295426875,0.9209457927269715,0.00879751401363545,6.492919731483701,0.07217840057597803,0.3141592653589794,0.08658880552103894,0.05969644280602874
0.9267933547648621,0.2627216332498635,0.00317890677588533,0.8048011148071185,0.9499875654882558,0.085226131283447,26592.533788627035,2385.6931009196956,0.09880156307597847,55.866179101809855,6.636019540257232,0.9537613480668052,0.008897132663774237,5.816131770037728,0.054778110992843604,0.3141592653589794,0.06771733122877184,0.045043028934547875
0.9712795686158524,0.3225692567881937,0.003215634110542306,0.5903660399688893,0.9432147046488741,0.07306147830072675,16085.87508802741,1246.013034418591,0.08668553632816411,61.22441070489648,6.564629337053711,0.9459985298543842,0.008873566965629383,5.13753493726473,0.034194316709136856,0.3141592653589794,0.04096234454749343,0.024654542044247416
0.9941883634852104,0.48278514551778406,0.0033103150558798445,0.32364614323685237,0.8438775590418885,0.04602073278114656,4786.128015301661,261.01075526497164,0.06472469234197865,63.945286156622586,5.627088790271045,0.8450871523590433,0.00865721767615861,4.2991058520876555,0.011623273029579212,0.3141592653589794,0.012187774910493792,0.005286365417640629
