mu,azimuth,a,ap,f,cx,cy,fx,fy,phi,w2_u2,alpha,cl,cd,gamma,dmu,dpsi
0.20800000000000002,-165.0,0.44424847816176566,0.06688983406065274,0.3727641526786948,0.8137103786991051,0.2038718889137048,120.38888100327425,30.16295384468822,0.25580200034207057,4.382420883561738,5.568375010604683,0.8388167487053545,0.008648097089025971,14.159226718146384,0.016000000000000014,0.5235987755982988
0.20800000000000002,-135.0,0.45171976573594647,0.07128251356601616,0.3749019796624817,0.8744693488647081,0.22962111651365627,122.56218925858948,32.18279382729522,0.2664603608976446,4.151542425169132,6.179054086967785,0.904071900718827,0.008746289698610726,15.260733684133799,0.016000000000000014,0.5235987755982988
0.20800000000000002,-105.0,0.4543785786887186,0.0769952099213347,0.3756737664393132,0.974144680581976,0.2746772201846355,123.3369816752001,34.77703053855477,0.2837978815939641,3.7503121317953547,7.172420850087608,1.0120884807862254,0.009074197173815326,17.084053555671485,0.016000000000000014,0.5235987755982988
0.20800000000000002,-75.0,0.4487447203859498,0.08258063874199649,0.3740452849726759,1.0897362082041964,0.3336979882244045,121.69609882870316,37.26566401544862,0.3057240265411114,3.3079035430627277,8.428696416551247,1.1396420156754115,0.009768670511372278,19.237157224600946,0.016000000000000014,0.5235987755982988
0.20800000000000002,-45.0,0.4277894376489109,0.0851133243723247,0.36820955486318163,1.162768330388067,0.3849585882348672,115.6215097728919,38.27890044072139,0.3317853605867987,2.9453913286884568,9.921900865849732,1.2247467757562076,0.014786483152144557,20.673725574764784,0.016000000000000014,0.5235987755982988
0.20800000000000002,-15.0,0.3666474168910369,0.07443442908124663,0.35295791207757315,1.0643497023900679,0.35955298384964635,98.16046749359559,33.16004964078799,0.3751658894924073,2.7318058880640548,12.407422085186376,1.1220707061639932,0.05546140587514821,18.940553520048205,0.016000000000000014,0.5235987755982988
0.20800000000000002,15.0,0.3716518646424002,0.0752746867513211,0.35411651031719343,1.086436056433225,0.3661593540248502,99.57497799044108,33.559554106091,0.3647894252287927,2.714836073314214,11.812894476612936,1.145575669821907,0.04552320254729562,19.33731730659379,0.016000000000000014,0.5235987755982988
0.20800000000000002,45.0,0.413462404010246,0.07961718347682319,0.3644096177682127,1.144043447264899,0.3665781921220557,111.49475314189787,35.72551818695227,0.31873062010820674,2.886751993294632,9.173919333787815,1.2012939500340862,0.010383919333787813,20.277841876575373,0.016000000000000014,0.5235987755982988
0.20800000000000002,75.0,0.4168269539437391,0.07358116718233654,0.3652887261667038,1.0318424069433592,0.3030941624736837,112.461937915223,33.034654021982504,0.2944464200675316,3.2284179423611197,7.782537162605706,1.0753959459911702,0.009401246621873834,18.15268356833095,0.016000000000000014,0.5235987755982988
0.20800000000000002,105.0,0.4203255989066712,0.06834021415344076,0.36621142145218805,0.9155881392026316,0.24771024824210985,113.46893389378985,30.69875701208464,0.2735855763299224,3.6709154217145126,6.587298859358787,0.9484635652894992,0.008881050108914552,16.010064982086746,0.016000000000000014,0.5235987755982988
0.20800000000000002,135.0,0.426361553245228,0.06521195644252388,0.36782412915482554,0.8337251319862382,0.21219024234542294,115.20925468231304,29.321749766867235,0.2593063624506789,4.09319123964567,5.769160169313507,0.8602598239072677,0.00867928701659239,14.521185827554678,0.016000000000000014,0.5235987755982988
0.20800000000000002,165.0,0.43486117351866743,0.06472628077942409,0.3701409535833197,0.7991978567596284,0.19794186208133618,117.66638727260677,29.143100954828178,0.25326624560313565,4.361096242297089,5.423086966183416,0.8233005497865784,0.00862552807241684,13.897313280397443,0.016000000000000014,0.5235987755982988
0.22400000000000003,-165.0,0.36729653359103814,0.055916952237256005,0.5767167714375407,0.9498473434910747,0.25913046823323177,156.65277907779952,42.73687588813909,0.2754632299324197,4.955653967240769,6.918880486169417,0.9845190431562861,0.008990504238153011,16.382396878120602,0.015999999999999986,0.5235987755982988
0.22400000000000003,-135.0,0.3718907791884658,0.05915298596089533,0.5782808530642369,1.0112315369277833,0.2882370949049301,158.39037844515994,45.146913361206764,0.2864922680138769,4.706465435203766,7.550797820325977,1.0514674659569285,0.009274275749406296,17.49641863352329,0.015999999999999986,0.5235987755982988
0.22400000000000003,-105.0,0.3700665999407633,0.06316749358427853,0.5776578906732742,1.1081876519477094,0.33897296838896895,157.70148899392794,48.237806843856255,0.3053725621557878,4.276014503570621,8.632558990623044,1.158829081470404,0.009884592367217025,19.282915915667523,0.015999999999999986,0.5235987755982988
0.22400000000000003,-75.0,0.3311436101040123,0.06159008761930362,0.5649498384430368,1.1280916513172867,0.375990466599319,142.69572274434856,47.56017058164908,0.3439704269456188,3.8008720765866424,10.844053741296966,1.1888059578307153,0.026457501233707312,19.781731138303105,0.015999999999999986,0.5235987755982988
0.22400000000000003,-45.0,0.26886034158825356,0.05137394120751224,0.5467090146004175,1.0403742024087517,0.35624084995690247,117.64529409154258,40.28363973742757,0.3954635788513536,3.3978301582030173,13.794394019321603,1.0973129305017664,0.07204413070672838,18.25928716354939,0.015999999999999986,0.5235987755982988
0.22400000000000003,-15.0,0.24537520018229256,0.04810346845053558,0.5404223572496385,1.0209178433556045,0.3586530467144255,107.92371671968321,37.914088858172725,0.41884501625000076,3.176455542103558,15.134051701213428,1.0785351727805852,0.08756216006102223,17.94682527506894,0.015999999999999986,0.5235987755982988
0.22400000000000003,15.0,0.24526213903060248,0.04789682878167163,0.5403928129108511,1.0248108809415395,0.3586393852754714,107.87659105876075,37.75213069734391,0.4145661777908204,3.1630071129809196,14.888892316284133,1.0824577229394539,0.08452708687559757,18.012096509712514,0.015999999999999986,0.5235987755982988
