mu,a,ap,f,cx,cy,fx,fy,phi,w2_u2,alpha,cl,cd,gamma,dmu,dpsi,dct,dcp
0.20800000000000002,0.4230848288149401,0.07367061987745341,0.3672120007613636,0.9825009739765084,0.2900044872675311,1371.6423729285261,397.31072635630204,0.2985716807701887,3.518715426080725,8.018897190259132,1.0246438443863772,0.01649828143341651,17.295988093242048,0.016000000000000014,0.5235987755982989,0.00349285862089395,0.0016835411119298133
0.22400000000000003,0.32171336746496837,0.05528151934169464,0.5627679308978247,1.0389896107941008,0.32497278640061794,1663.4276670977088,512.6986730405325,0.33266871974312506,4.029120040764594,10.19651361730147,1.0880360721444258,0.03351970788418061,18.10492024048325,0.015999999999999986,0.5235987755982989,0.0042358837711107215,0.002339592998573644
0.24,0.28612461451131477,0.04561138527900622,0.6761003736166341,1.0535571203625078,0.3270871629643039,1872.7023815952084,574.0546239437238,0.3303157849461191,4.530622800084419,10.285700383963556,1.1025716040731588,0.0331353931623825,18.082174306799807,0.015999999999999986,0.5235987755982989,0.004768797455533476,0.002806690744485972
0.256,0.2682783760616705,0.03925151270692941,0.7543069570452416,1.0585681708480084,0.3213901082894528,2066.573810651357,620.2550882058025,0.31999265585665543,5.0541306254152545,9.918228655768559,1.105877043844778,0.028976243792319323,17.870973028531616,0.016000000000000014,0.5235987755982989,0.005262486995670688,0.0032347476218954722
0.272,0.2586767838268829,0.03470544195870295,0.8117001894356396,1.0610879406236258,0.3136846334390257,2258.7501836821666,660.4579639184599,0.3070602816221173,5.605781459077855,9.401258193045798,1.106318462743071,0.023302859785034002,17.612589926869695,0.016000000000000014,0.5235987755982989,0.005751860111083894,0.003659689050633291
0.28800000000000003,0.25321371077032706,0.031218574259506082,0.8549325626372214,1.0612041571871453,0.3052091277771654,2449.2737869935186,696.6924832385635,0.293604544298544,6.187837531981495,8.854301234168393,1.1042906994593982,0.01713470109021261,17.315278167523367,0.016000000000000014,0.5235987755982989,0.006237024482966791,0.004087555984185195
0.30400000000000005,0.24942215223946151,0.028261544815773677,0.8878052326042523,1.0558581211050453,0.2945051379483384,2631.2344077803873,725.8299733602768,0.28080607727969825,6.800811334839413,8.345003089751147,1.0963588147670005,0.0121013990155716,16.927780100002483,0.01599999999999996,0.5235987755982989,0.006700383398907592,0.004495091986404125
0.32,0.24518706420523229,0.02545021867518001,0.9127082515303653,1.041000041184739,0.27969005424186094,2792.378445099506,742.4888202105634,0.26942825495647343,7.444203423234862,7.917101890580633,1.0781107748805479,0.009876432859867215,16.387283778184326,0.016000000000000014,0.5235987755982989,0.007110733320333553,0.004840274572369132
0.336,0.23948180355343152,0.022773321193215387,0.9315110708692032,1.0155769301085453,0.26222358502200527,2925.698470996037,748.2282741596341,0.2596496889346011,8.11927824206865,7.580831327837312,1.0490401588284868,0.009401503710502102,15.693640776074163,0.016000000000000014,0.5235987755982989,0.007450229978486712,0.005121574494752965
0.352,0.23438478555400677,0.020462322081603427,0.9461080004219744,0.9898209506502893,0.24559776107819462,3052.109704240839,750.6581803493979,0.2504642098612907,8.82635053610841,7.278542144130889,1.0199581650903908,0.009226372856527313,15.013784190130552,0.01599999999999996,0.5235987755982989,0.007772133540618757,0.005382883572632434
0.368,0.22991559929683597,0.01847547240268239,0.9575118408854174,0.9649202499201845,0.2302325728224124,3174.3035135405644,751.2330331493763,0.2417913679494357,9.565694820548428,7.005624906197422,0.9921043535713954,0.009106687389772397,14.365671039713806,0.016000000000000014,0.5235987755982989,0.008083297520863232,0.005631869674929646
